,index,contributor_uuid,topic_name,blank,start_pos_adjusted,end_pos_adjusted,cumulative
0,u0,0b2ee3,8,,1064,1512,3885
1,u1,0b2ee3,8,,1624,1879,3885
2,u2,0b2ee3,8,,1931,2129,3885
3,u3,0b2ee3,8,,896,1058,3885
4,u4,0b2ee3,8,,2488,2632,3885
5,u5,172e9a,8,,3294,3608,3885
6,u6,fe9d3f,8,,608,616,3885
7,u7,fe9d3f,8,,699,756,3885
8,u8,fe9d3f,8,,1267,1512,3885
9,u9,fe9d3f,8,,2367,2436,3885
10,u10,fe9d3f,8,,2488,2632,3885
11,u11,fe9d3f,8,,2829,2872,3885
12,u12,fe9d3f,8,,3240,3291,3885
13,u13,fe9d3f,8,,3294,3608,3885
14,u14,fe9d3f,8,,3726,3811,3885
15,u15,95dc40,8,,183,259,3885
16,u16,95dc40,8,,373,589,3885
17,u17,95dc40,8,,824,835,3885
18,u18,95dc40,8,,1064,1375,3885
19,u19,95dc40,8,,3294,3344,3885
20,u20,e1ae88,8,,5632,5753,5755
21,u21,00f548,8,,4222,4427,5755
22,u22,00f548,8,,4773,4985,5755
23,u23,00f548,8,,5632,5753,5755
24,u24,00f548,8,,5285,5425,5755
25,u25,0b2ee3,8,,4430,4661,5755
26,u26,0b2ee3,8,,4989,5125,5755
27,u27,1119f9,8,,5632,5753,5755
28,u28,fe9d3f,8,,4773,4985,5755
29,u29,fe9d3f,8,,5375,5569,5755
30,u30,bd7860,8,,5640,5753,5755
31,u31,0b2ee3,8,,6700,6766,9353
32,u32,0b2ee3,8,,6770,6990,9353
33,u33,bd7860,8,,8966,9186,9353
34,u34,bd7860,8,,7840,8058,9353
35,u35,00f548,8,,8061,8283,9353
36,u36,00f548,8,,8286,8415,9353
37,u37,00f548,8,,8966,9186,9353
38,u38,e1ae88,8,,7840,8058,9353
39,u39,e1ae88,8,,8966,9186,9353
40,u40,f3a07c,8,,8141,8283,9353
41,u41,f3a07c,8,,8351,8390,9353
42,u42,0b2ee3,8,,10138,10454,13908
43,u43,0b2ee3,8,,12041,12044,13908
44,u44,0b2ee3,8,,11665,11755,13908
45,u45,0b2ee3,8,,11757,12041,13908
46,u46,e44f57,8,,11665,12041,13908
47,u47,e44f57,8,,11229,11662,13908
48,u48,bd7860,8,,11462,11488,13908
49,u49,bd7860,8,,11596,11604,13908
50,u50,bd7860,8,,11713,11745,13908
51,u51,bd7860,8,,11784,11855,13908
52,u52,bd7860,8,,13441,13468,13908
53,u53,bd7860,8,,13568,13582,13908
54,u54,bd7860,8,,13710,13758,13908
55,u55,fe9d3f,8,,9666,10012,13908
56,u56,fe9d3f,8,,10638,10721,13908
57,u57,fe9d3f,8,,10796,10886,13908
58,u58,fe9d3f,8,,11561,11662,13908
59,u59,fe9d3f,8,,11857,12041,13908
60,u60,fe9d3f,8,,12580,12664,13908
61,u61,fe9d3f,8,,13073,13236,13908
62,u62,fe9d3f,8,,13568,13582,13908
63,u63,00f548,8,,11229,11662,13908
64,u64,00f548,8,,11665,12077,13908
65,u65,00f548,8,,12919,13236,13908
66,u66,00f548,8,,13239,13582,13908
67,u67,e1ae88,8,,13625,13758,13908
68,u68,e1ae88,8,,13585,13591,13908
69,u69,e1ae88,8,,13604,13633,13908
70,u70,f3a07c,8,,11444,11559,13908
71,u71,f3a07c,8,,11757,12041,13908
72,u72,f3a07c,8,,13073,13236,13908
73,u73,f3a07c,8,,13371,13468,13908
74,u74,f3a07c,8,,13470,13582,13908
75,u75,f3a07c,8,,13710,13758,13908
76,u76,0b2ee3,8,,14478,14591,15538
77,u77,0b2ee3,8,,14691,14819,15538
78,u78,bd7860,8,,14474,14658,15538
79,u79,bd7860,8,,14826,15009,15538
80,u80,bd7860,8,,15080,15181,15538
81,u81,bd7860,8,,15038,15062,15538
82,u82,bd7860,8,,14241,14459,15538
83,u83,bd7860,8,,14189,14230,15538
