,index,contributor_uuid,topic_name,blank,start_pos_adjusted,end_pos_adjusted,cumulative
145,u145,76f739,1,,4222,4427,5755
146,u146,76f739,1,,4480,4661,5755
147,u147,76f739,1,,4665,4670,5755
148,u148,76f739,1,,4785,4826,5755
149,u149,76f739,1,,4909,4985,5755
150,u150,76f739,1,,5285,5295,5755
151,u151,76f739,1,,5308,5373,5755
152,u152,76f739,1,,5414,5420,5755
153,u153,76f739,1,,5375,5381,5755
154,u154,f91436,1,,6378,6582,9353
155,u155,f91436,1,,6665,6711,9353
156,u156,f91436,1,,6770,6990,9353
157,u157,f91436,1,,7199,7253,9353
158,u158,f91436,1,,7259,7284,9353
159,u159,f91436,1,,7427,7538,9353
160,u160,f91436,1,,7541,7633,9353
161,u161,f91436,1,,7647,7822,9353
162,u162,f91436,1,,8589,8724,9353
163,u163,f91436,1,,8772,8953,9353
164,u164,f91436,1,,9190,9336,9353
165,u165,f91436,1,,8966,9129,9353
166,u166,e44f57,1,,5919,5969,9353
167,u167,e44f57,1,,5993,6077,9353
168,u168,e44f57,1,,6665,7003,9353
169,u169,e44f57,1,,7392,7395,9353
170,u170,e44f57,1,,6378,6582,9353
171,u171,e44f57,1,,8589,8675,9353
172,u172,e44f57,1,,8772,8830,9353
173,u173,e44f57,1,,8847,8953,9353
174,u174,e44f57,1,,9190,9336,9353
175,u175,e44f57,1,,7218,7392,9353
176,u176,e44f57,1,,7427,7538,9353
177,u177,e44f57,1,,7647,7822,9353
178,u178,e44f57,1,,7541,7633,9353
179,u179,0b2ee3,1,,5935,6121,9353
180,u180,0b2ee3,1,,6378,6582,9353
181,u181,0b2ee3,1,,8589,8719,9353
182,u182,0b2ee3,1,,8772,8963,9353
183,u183,0b2ee3,1,,9190,9351,9353
184,u184,0b2ee3,1,,6665,6766,9353
185,u185,0b2ee3,1,,6770,6990,9353
186,u186,0b2ee3,1,,7218,7284,9353
187,u187,0b2ee3,1,,7427,7538,9353
188,u188,0b2ee3,1,,8966,9129,9353
189,u189,bd7860,1,,6378,6582,9353
190,u190,bd7860,1,,6665,6711,9353
191,u191,bd7860,1,,6770,6990,9353
192,u192,bd7860,1,,7199,7229,9353
193,u193,bd7860,1,,7259,7294,9353
194,u194,bd7860,1,,7427,7538,9353
195,u195,bd7860,1,,7541,7633,9353
196,u196,bd7860,1,,7647,7822,9353
197,u197,bd7860,1,,8589,8724,9353
198,u198,bd7860,1,,8772,8953,9353
199,u199,bd7860,1,,9190,9336,9353
200,u200,bd7860,1,,8966,9186,9353
201,u201,00f548,1,,5921,6077,9353
202,u202,00f548,1,,6206,6278,9353
203,u203,00f548,1,,6378,6582,9353
204,u204,00f548,1,,9190,9351,9353
205,u205,00f548,1,,8589,8963,9353
206,u206,00f548,1,,6665,6766,9353
207,u207,00f548,1,,6770,7003,9353
208,u208,00f548,1,,7199,7822,9353
209,u209,00f548,1,,8065,8283,9353
210,u210,00f548,1,,8286,8478,9353
211,u211,00f548,1,,8480,8585,9353
212,u212,e08341,1,,5919,6077,9353
213,u213,e08341,1,,6585,7003,9353
214,u214,e08341,1,,6218,6278,9353
215,u215,e08341,1,,6320,6361,9353
216,u216,e08341,1,,6378,6582,9353
217,u217,e08341,1,,8589,8963,9353
218,u218,e08341,1,,9190,9351,9353
219,u219,e08341,1,,7188,7392,9353
220,u220,e08341,1,,7427,7822,9353
221,u221,e08341,1,,8286,8478,9353
222,u222,e08341,1,,8480,8585,9353
223,u223,e08341,1,,8966,9186,9353
224,u224,343ecb,1,,5919,6077,9353
225,u225,343ecb,1,,6665,6766,9353
226,u226,343ecb,1,,6770,7003,9353
227,u227,343ecb,1,,6364,6582,9353
228,u228,343ecb,1,,8589,8724,9353
229,u229,343ecb,1,,8772,8963,9353
230,u230,343ecb,1,,9190,9351,9353
231,u231,343ecb,1,,7199,7392,9353
232,u232,343ecb,1,,7427,7538,9353
233,u233,343ecb,1,,7541,7643,9353
234,u234,343ecb,1,,7647,7822,9353
235,u235,343ecb,1,,8966,9129,9353
236,u236,8f5ca4,1,,5919,6077,9353
237,u237,8f5ca4,1,,6665,6766,9353
238,u238,8f5ca4,1,,6770,7003,9353
239,u239,8f5ca4,1,,6378,6582,9353
240,u240,8f5ca4,1,,8589,8724,9353
241,u241,8f5ca4,1,,8772,8963,9353
242,u242,8f5ca4,1,,9190,9351,9353
243,u243,8f5ca4,1,,6206,6278,9353
244,u244,8f5ca4,1,,6324,6361,9353
245,u245,8f5ca4,1,,7192,7314,9353
246,u246,8f5ca4,1,,7427,7822,9353
247,u247,8f5ca4,1,,8966,9186,9353
248,u248,592ad4,1,,5919,5969,9353
249,u249,592ad4,1,,5998,6077,9353
250,u250,592ad4,1,,6218,6230,9353
251,u251,592ad4,1,,6173,6178,9353
252,u252,592ad4,1,,6179,6230,9353
253,u253,592ad4,1,,6231,6361,9353
254,u254,592ad4,1,,6378,6421,9353
255,u255,592ad4,1,,6427,6582,9353
256,u256,592ad4,1,,6665,6711,9353
257,u257,592ad4,1,,6717,6766,9353
258,u258,592ad4,1,,6770,6990,9353
259,u259,592ad4,1,,6993,6997,9353
260,u260,592ad4,1,,7218,7229,9353
261,u261,592ad4,1,,7259,7392,9353
262,u262,592ad4,1,,7427,7431,9353
263,u263,592ad4,1,,7475,7538,9353
264,u264,592ad4,1,,7541,7633,9353
265,u265,592ad4,1,,7647,7822,9353
266,u266,592ad4,1,,8480,8487,9353
267,u267,592ad4,1,,8492,8585,9353
268,u268,592ad4,1,,8589,8675,9353
269,u269,592ad4,1,,8712,8719,9353
270,u270,592ad4,1,,8847,8953,9353
271,u271,592ad4,1,,8772,8830,9353
272,u272,592ad4,1,,8956,8958,9353
273,u273,592ad4,1,,9116,9129,9353
274,u274,592ad4,1,,8966,9099,9353
275,u275,592ad4,1,,9190,9336,9353
276,u276,592ad4,1,,9344,9351,9353
277,u277,297ad1,1,,6770,6990,9353
278,u278,297ad1,1,,6700,6711,9353
279,u279,297ad1,1,,7475,7538,9353
280,u280,297ad1,1,,8289,8290,9353
281,u281,297ad1,1,,7218,7229,9353
282,u282,297ad1,1,,7259,7284,9353
283,u283,297ad1,1,,7427,7431,9353
284,u284,297ad1,1,,7541,7633,9353
285,u285,297ad1,1,,7647,7822,9353
286,u286,297ad1,1,,8065,8084,9353
287,u287,297ad1,1,,8085,8283,9353
288,u288,297ad1,1,,8286,8333,9353
289,u289,297ad1,1,,8338,8478,9353
290,u290,297ad1,1,,8480,8487,9353
291,u291,297ad1,1,,8492,8585,9353
292,u292,297ad1,1,,6378,6421,9353
293,u293,297ad1,1,,8589,8675,9353
294,u294,297ad1,1,,8686,8719,9353
295,u295,297ad1,1,,8772,8953,9353
296,u296,297ad1,1,,9190,9336,9353
297,u297,297ad1,1,,9344,9351,9353
298,u298,297ad1,1,,5919,5959,9353
299,u299,297ad1,1,,5960,6077,9353
300,u300,f91436,1,,9574,9602,13908
301,u301,f91436,1,,9666,10012,13908
302,u302,f91436,1,,12135,12148,13908
303,u303,f91436,1,,12162,12237,13908
304,u304,f91436,1,,12249,12279,13908
305,u305,e44f57,1,,9574,9602,13908
306,u306,e44f57,1,,9666,10012,13908
307,u307,0b2ee3,1,,9553,9558,13908
308,u308,0b2ee3,1,,9466,9479,13908
309,u309,0b2ee3,1,,9574,10012,13908
310,u310,0b2ee3,1,,12174,12237,13908
311,u311,0b2ee3,1,,12266,12279,13908
312,u312,0b2ee3,1,,13509,13518,13908
313,u313,0b2ee3,1,,13842,13868,13908
314,u314,bd7860,1,,9574,9602,13908
315,u315,bd7860,1,,9604,10012,13908
316,u316,e08341,1,,9561,10012,13908
317,u317,e08341,1,,12135,12237,13908
318,u318,e08341,1,,12243,12279,13908
319,u319,592ad4,1,,9589,9602,13908
320,u320,592ad4,1,,9604,10012,13908
321,u321,f91436,1,,14161,14459,15538
322,u322,f91436,1,,14822,15009,15538
323,u323,f91436,1,,15012,15181,15538
324,u324,e44f57,1,,14189,14459,15538
325,u325,e44f57,1,,14822,14999,15538
326,u326,e44f57,1,,15038,15181,15538
327,u327,0b2ee3,1,,14189,14230,15538
328,u328,0b2ee3,1,,14822,15009,15538
329,u329,0b2ee3,1,,15025,15181,15538
330,u330,bd7860,1,,14189,14230,15538
331,u331,bd7860,1,,14241,14459,15538
332,u332,bd7860,1,,14822,15009,15538
333,u333,bd7860,1,,15038,15062,15538
334,u334,bd7860,1,,15064,15181,15538
335,u335,e08341,1,,14161,14658,15538
336,u336,e08341,1,,14822,15009,15538
337,u337,e08341,1,,15012,15181,15538
338,u338,e44f57,1,,15652,15818,18037
339,u339,e44f57,1,,15850,15857,18037
340,u340,e44f57,1,,16141,16215,18037
341,u341,e44f57,1,,16227,16248,18037
342,u342,e44f57,1,,16218,16226,18037
343,u343,e44f57,1,,17011,17100,18037
344,u344,e44f57,1,,17194,17311,18037
345,u345,e44f57,1,,17526,17537,18037
346,u346,e44f57,1,,17682,17709,18037
347,u347,e44f57,1,,17812,18035,18037
348,u348,0b2ee3,1,,15807,15818,18037
349,u349,0b2ee3,1,,15648,15805,18037
350,u350,0b2ee3,1,,15850,15857,18037
351,u351,0b2ee3,1,,16141,16336,18037
352,u352,0b2ee3,1,,17011,17143,18037
353,u353,0b2ee3,1,,17194,17311,18037
354,u354,0b2ee3,1,,17526,17637,18037
355,u355,0b2ee3,1,,17700,17709,18037
356,u356,0b2ee3,1,,17732,17740,18037
357,u357,0b2ee3,1,,17812,17893,18037
358,u358,0b2ee3,1,,17896,17928,18037
359,u359,bd7860,1,,15648,15857,18037
360,u360,bd7860,1,,16547,16978,18037
361,u361,bd7860,1,,16141,16336,18037
362,u362,bd7860,1,,15859,15995,18037
363,u363,bd7860,1,,17011,17177,18037
364,u364,bd7860,1,,17194,17311,18037
365,u365,bd7860,1,,17356,17523,18037
366,u366,bd7860,1,,17526,18035,18037
367,u367,e08341,1,,15648,17008,18037
368,u368,e08341,1,,17011,17340,18037
369,u369,e08341,1,,17343,17523,18037
370,u370,e08341,1,,17526,18035,18037
371,u371,592ad4,1,,15859,16215,18037
372,u372,592ad4,1,,16218,16336,18037
373,u373,592ad4,1,,17087,17100,18037
374,u374,592ad4,1,,16986,17084,18037
375,u375,592ad4,1,,17194,17311,18037
376,u376,592ad4,1,,17526,17537,18037
377,u377,592ad4,1,,17682,17880,18037
378,u378,592ad4,1,,17883,17888,18037
379,u379,592ad4,1,,17896,18035,18037
380,u380,e44f57,1,,18849,18929,24831
381,u381,e44f57,1,,24135,24580,24831
382,u382,e44f57,1,,19149,19974,24831
383,u383,e44f57,1,,19976,20273,24831
384,u384,e44f57,1,,20275,20571,24831
385,u385,e44f57,1,,20573,20829,24831
386,u386,e44f57,1,,20832,21084,24831
387,u387,e44f57,1,,21086,21739,24831
388,u388,e44f57,1,,22080,22382,24831
389,u389,e44f57,1,,23050,23403,24831
390,u390,e44f57,1,,22385,22546,24831
391,u391,e44f57,1,,22548,23048,24831
392,u392,e44f57,1,,23643,23734,24831
393,u393,e44f57,1,,24135,24580,24831
394,u394,e44f57,1,,23737,23890,24831
395,u395,e44f57,1,,24135,24580,24831
396,u396,e44f57,1,,24582,24828,24831
397,u397,592ad4,1,,18258,18279,24831
398,u398,592ad4,1,,18284,18424,24831
399,u399,592ad4,1,,18849,18929,24831
400,u400,592ad4,1,,18937,18955,24831
401,u401,592ad4,1,,20670,20684,24831
402,u402,592ad4,1,,20728,20829,24831
403,u403,592ad4,1,,21179,21194,24831
404,u404,592ad4,1,,21234,21344,24831
405,u405,592ad4,1,,21568,21612,24831
406,u406,592ad4,1,,21620,21629,24831
407,u407,592ad4,1,,22385,22436,24831
408,u408,592ad4,1,,22459,22480,24831
409,u409,592ad4,1,,22548,22619,24831
410,u410,592ad4,1,,23389,23398,24831
411,u411,592ad4,1,,23321,23385,24831
412,u412,592ad4,1,,23737,23826,24831
413,u413,592ad4,1,,23834,23839,24831
414,u414,592ad4,1,,24392,24444,24831
415,u415,592ad4,1,,24451,24504,24831
416,u416,592ad4,1,,24705,24828,24831
417,u417,592ad4,1,,24693,24697,24831
418,u418,0b2ee3,1,,18849,19058,24831
419,u419,0b2ee3,1,,19976,20273,24831
420,u420,0b2ee3,1,,20573,20829,24831
421,u421,0b2ee3,1,,21568,21629,24831
422,u422,0b2ee3,1,,22385,22546,24831
